id,taille,age,masse,tour_hanche,tour_taille,tour_poignet
06_03,1.88,19,91,0.95,0.88,0.18
08_02,1.82,20,71,0.95,0.74,0.15
04_05,1.74,20,76,0.88,0.8,0.18
70_05,1.9,53,120,1.12,1.02,0.25
53_02,1.6,68,65,1,0.85,0.155
75_01,1.84,19,89,0.98,0.88,0.182
70_01,1.79,19,102,1.21,1.07,0.19
16_02,1.57,29,73.5,1.05,0.91,0.16
04_04,1.6,48,62,0.89,0.82,0.171
60_05,1.65,21,67.5,0.99,0.76,0.165
04_03,1.68,19,86.5,1,0.99,0.181
42_06,1.73,16,55,0.95,0.72,0.15
31_03,1.73,15,61,0.85,0.76,0.16
30_03,1.41,10,40,0.74,0.71,0.17
43_01,1.56,20,53.5,0.93,0.72,0.15
24_04,1.6,62,68,1.03,0.89,0.16
67_01,1.65,44,76.5,0.98,0.82,0.16
56_06,1.63,19,56,0.8,0.7,0.16
07_02,1.67,35,70.5,0.81,0.73,0.154
70_04,1.55,83,53,0.91,0.81,0.15
63_04,1.55,41,58,1.07,0.88,0.14
07_04,1.84,45,95,0.9,0.8,0.166
77_03,1.72,51,88.5,1.13,1.07,0.25
"33_01
",1.56,19,63,0.31,0.4,0.15
20_01,1.57,19,57,0.85,0.77,0.18
42_03,1.68,49,99,1.2,1.18,0.18
19_01,1.68,91,37,0.8,0.6,0.1
66_02,1.6,16,57,0.82,0.71,0.149
60_04,1.83,19,105.5,1.09,1.15,0.18
21_06,1.67,46,66.5,0.95,0.9,0.16
30_05,1.27,7,32.5,0.74,0.71,0.15
34_4,1.82,43,97,1.05,1.13,0.177
20_04,1.7,31,88,1.11,1,0.19
06_02,1.64,67,60,0.88,0.82,0.17
35_05,1.6,19,62,1.02,0.8,0.155
03_03,1.58,48,62.5,0.99,0.89,0.156
42_05,1.75,49,84.5,1.18,1,0.17
67_09,1.55,58,67,1.06,0.95,0.17
33_03,1.6,24,65.5,0.98,0.9,0.182
34_5,1.73,14,51.5,0.81,0.67,0.149
79_01,1.88,20,69,0.93,0.75,0.17
8_01,1.74,19,57,0.8,0.71,0.155
62_05,1.72,50,58,0.9,0.75,0.163
54_05,1.81,42,99,1.03,1.04,0.18
54_06,1.75,41,81,1.05,0.95,0.16
69_03,1.55,70,65,0.9,1,0.171
53_10,1.81,52,74.5,1.1,0.9,0.163
64_01,1.62,47,71.5,1.01,0.81,0.168
48_05,1.63,47,63.5,1.01,0.87,0.15
30_07,1.74,28,76,0.87,0.82,0.18
62_01,1.66,21,53,0.89,0.66,0.151
69_04,1.78,73,109,1,1.5,0.195
